time,url,dcl,load,fcp,lcp,cls,fid
1647367135.576,http://localhost:3000/,851,2313.2000000476837,842.7000000476837,1121.8,0.28064088267101717,1.0999999642372131
1647368637.254,http://localhost:3000/,1292.199999988079,1296.0999999642372,0,0,0,0
1647368638.982,http://localhost:3000/,943.5,947.0999999642372,0,0,0,0
1647368929.646,http://localhost:3000/,546.5,562.5,0,0,0,0
